Make,Model,Year Range,PCD,Center Bore,R12,R13,R14,R15,R16,R17,R18,R19,R20,URL
audi,RS7 Sportback,2013 - 2018,5x112,66.5,,,,,,,,,1,https://www.wheelfitment.eu/car/Audi/RS7%20Sportback%20(2013%20-%202018).html
audi,RS7 Sportback,2019 - ,5x112,66.5,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/RS7%20Sportback%20(2019%20-%20).html
audi,S1,2014 - 2018,5x100,57.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/S1%20(2014%20-%202018).html
audi,S1 Sportback,2014 - 2018,5x100,57.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Audi/S1%20Sportback%20(2014%20-%202018).html
audi,S2,1990 - 1995,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S2%20(1990%20-%201995).html
audi,S3,1999 - 2003,5x100,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S3%20(1999%20-%202003).html
audi,S3,2006 - 2012,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S3%20(2006%20-%202012).html
audi,S3,2012 - 2020,5x112,57.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Audi/S3%20(2012%20-%202020).html
audi,S3,2020 - ,5x112,57.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Audi/S3%20(2020%20-%20).html
audi,S4,1991 - 1994,5x112,57.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Audi/S4%20(1991%20-%201994).html
audi,S4,1997 - 2001,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S4%20(1997%20-%202001).html
audi,S4,2003 - 2009,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S4%20(2003%20-%202009).html
audi,S4,2009 - 2015,5x112,66.5,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S4%20(2009%20-%202015).html
audi,S4,2016 - ,5x112,66.5,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Audi/S4%20(2016%20-%20).html
audi,S5,2007 - 2016,5x112,66.5,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Audi/S5%20(2007%20-%202016).html
audi,S5,2017 - ,5x112,66.5,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Audi/S5%20(2017%20-%20).html
audi,S6,1994 - 1997,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S6%20(1994%20-%201997).html
audi,S6,1999 - 2004,5x112,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Audi/S6%20(1999%20-%202004).html
