Make,Model,Year Range,PCD,Center Bore,R12,R13,R14,R15,R16,R17,R18,R19,R20,URL
kia,Sportage,1994 - 2004,5x139.7,95.3,,,,,,,,,,https://www.wheelfitment.eu/car/Kia/Sportage%20(1994%20-%202004).html
kia,Sportage,2004 - 2010,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Kia/Sportage%20(2004%20-%202010).html
kia,Sportage,2010 - 2015,5x114.3,67.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Kia/Sportage%20(2010%20-%202015).html
kia,Sportage,2015 - 2021,5x114.3,67.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Kia/Sportage%20(2015%20-%202021).html
kia,Sportage,2022 - ,5x114.3,67.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Kia/Sportage%20(2022%20-%20).html
kia,Stinger,2017 - 2024,5x114.3,67.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Kia/Stinger%20(2017%20-%202024).html
kia,Stonic,2017 - ,4x100,54.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Kia/Stonic%20(2017%20-%20).html
kia,Venga,2010 - 2019,5x114.3,67.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Kia/Venga%20(2010%20-%202019).html
kia,XCeed,2019 - ,5x114.3,67.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Kia/XCeed%20(2019%20-%20).html
lexus,CT200h,2011 - ,5x100,54.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/CT200h%20(2011%20-%20).html
lexus,ES,2018 - ,5x114.3,60.1,,,,,,1,1,1,,https://www.wheelfitment.eu/car/Lexus/ES%20(2018%20-%20).html
lexus,GS300,1998 - 2005,5x114.3,60.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/GS300%20(1998%20-%202005).html
lexus,GS300,2005 - 2012,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/GS300%20(2005%20-%202012).html
lexus,GS300h,2012 - 2020,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/GS300h%20(2012%20-%202020).html
lexus,GS430,2001 - 2005,5x114.3,60.1,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/GS430%20(2001%20-%202005).html
lexus,GS450h,2005 - 2012,5x114.3,60.1,,,,,,,1,1,,https://www.wheelfitment.eu/car/Lexus/GS450h%20(2005%20-%202012).html
lexus,GS450h,2012 - 2020,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/GS450h%20(2012%20-%202020).html
lexus,GX460,2009 - ,6x139.7,106,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/GX460%20(2009%20-%20).html
lexus,GX470,2002 - 2009,6x139.7,106,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/GX470%20(2002%20-%202009).html
lexus,IS,1999 - 2005,5x114.3,60.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/IS%20(1999%20-%202005).html
lexus,IS,2006 - 2013,5x114.3,60.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/IS%20(2006%20-%202013).html
lexus,IS,2013 - ,5x114.3,60.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/IS%20(2013%20-%20).html
lexus,IS F,2008 - ,5x114.3,60.1,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/IS%20F%20(2008%20-%20).html
lexus,LBX,2023 - ,5x114.3,60.1,,,,,,1,1,,,https://www.wheelfitment.eu/car/Lexus/LBX%20(2023%20-%20).html
lexus,LC,2017 - ,5x120,60.1,,,,,,,,,1,https://www.wheelfitment.eu/car/Lexus/LC%20(2017%20-%20).html
lexus,LS,2017 - ,5x120,60.1,,,,,,,,1,1,https://www.wheelfitment.eu/car/Lexus/LS%20(2017%20-%20).html
lexus,LS400,1995 - 2000,5x114.3,60.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Lexus/LS400%20(1995%20-%202000).html
lexus,LS430,2001 - 2006,5x114.3,60.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Lexus/LS430%20(2001%20-%202006).html
lexus,LS460,2006 - 2010,5x120,60.1,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/LS460%20(2006%20-%202010).html
lexus,LS600,2006 - 2017,5x120,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/LS600%20(2006%20-%202017).html
lexus,LX470,1998 - 2007,5x150,110,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/LX470%20(1998%20-%202007).html
lexus,LX570,2008 - ,5x150,110,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/LX570%20(2008%20-%20).html
lexus,NX,2014 - 2020,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/NX%20(2014%20-%202020).html
lexus,NX,2021 - ,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/NX%20(2021%20-).html
lexus,RC,2014 - ,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RC%20(2014%20-%20).html
lexus,RX,2015 - 2022,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX%20(2015%20-%202022).html
lexus,RX,2022 - ,5x114.3,60.1,,,,,,,,1,1,https://www.wheelfitment.eu/car/Lexus/RX%20(2022%20-%20).html
lexus,RX200t,2015 - 2022,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX200t%20(2015%20-%202022).html
lexus,RX270,2009 - 2015,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX270%20(2009%20-%202015).html
lexus,RX300,1997 - 2003,5x114.3,60.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX300%20(1997%20-%202003).html
lexus,RX300,2003 - 2009,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX300%20(2003%20-%202009).html
lexus,RX330,2003 - 2009,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX330%20(2003%20-%202009).html
lexus,RX350,2006 - 2009,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX350%20(2006%20-%202009).html
lexus,RX350,2009 - 2015,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX350%20(2009%20-%202015).html
lexus,RX400h,2003 - 2009,5x114.3,60.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX400h%20(2003%20-%202009).html
lexus,RX450h,2009 - 2015,5x114.3,60.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lexus/RX450h%20(2009%20-%202015).html
lexus,RZ,2023 - ,5x114.3,60.1,,,,,,,1,,1,https://www.wheelfitment.eu/car/Lexus/RZ%20(2023%20-%20).html
lexus,SC430,2001 - 2010,5x114.3,60.1,,,,,,,,,,https://www.wheelfitment.eu/car/Lexus/SC430%20(2001%20-%202010).html
lexus,TX,2023 - ,5x120,60.1,,,,,,,,,1,https://www.wheelfitment.eu/car/Lexus/TX%20(2023%20-%20).html
lexus,UX,2018 - ,5x114.3,60.1,,,,,,1,1,1,,https://www.wheelfitment.eu/car/Lexus/UX%20(2018%20-%20).html
lincoln,Aviator,2002 - 2005,5x114.3,70.6,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Lincoln/Aviator%20(2002%20-%202005).html
lincoln,Aviator,2019 - ,5x114.3,70.6,,,,,,,,1,1,https://www.wheelfitment.eu/car/Lincoln/Aviator%20(2019%20-%20).html
lincoln,Continental,1961 - 1967,5x127,70.3,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Continental%20(1961%20-%201967).html
lincoln,Continental,1988 - 2001,5x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Continental%20(1988%20-%202001).html
lincoln,Corsair,2019 - ,5x108,63.4,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lincoln/Corsair%20(2019%20-%20).html
lincoln,LS,2001 - 2007,5x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/LS%20(2001%20-%202007).html
lincoln,Mark LT,2005 - 2008,6x135,87.1,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Mark%20LT%20(2005%20-%202008).html
lincoln,Mark VII,1988 - 1992,5x114.3,70.3,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Mark%20VII%20(1988%20-%201992).html
lincoln,Mark VIII,1993 - 1998,5x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Mark%20VIII%20(1993%20-%201998.html
lincoln,MKX,2007 - ,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/MKX%20(2007%20-%20).html
lincoln,Nautilus,2019 - 2023,5x108,63.4,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Lincoln/Nautilus%20(2019%20-%202023).html
lincoln,Nautilus,2023 - ,5x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Nautilus%20(2023%20-%20).html
lincoln,Navigator,1998 - 2002,5x135,87.1,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Navigator%20(1998%20-%202002).html
lincoln,Navigator,2002 - 2006,6x135,87.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Lincoln/Navigator%20(2002%20-%202006).html
lincoln,Navigator,2007 - 2017,6x135,87.1,,,,,,,1,,1,https://www.wheelfitment.eu/car/Lincoln/Navigator%20(2007%20-%202017).html
lincoln,Navigator,2018 - ,6x135,87.1,,,,,,,1,,1,https://www.wheelfitment.eu/car/Lincoln/Navigator%20(2018%20-%20).html
lincoln,Towncar,1981 - 2003,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Towncar%20(1981%20-%202003).html
lincoln,Towncar,2003 - 2011,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Lincoln/Towncar%20(2003%20-%202011).html
mazda,121,1988 - 1991,4x114.3,59.6,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/121%20(1988%20-%201991).html
mazda,121,1991 - 1996,4x100,54.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/121%20(1991%20-%201996).html
mazda,121,1996 - 2002,4x108,63.4,,1,,,,,,,,https://www.wheelfitment.eu/car/Mazda/121%20(1996%20-%202002).html
mazda,2,2003 - 2007,4x108,63.4,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mazda/2%20(2003%20-%202007).html
mazda,2,2007 - 2014,4x100,54.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mazda/2%20(2007%20-%202014).html
mazda,3,2003 - 2009,5x114.3,67.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/3%20(2003%20-%202009).html
mazda,3,2009 - 2013,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/3%20(2009%20-%202013).html
mazda,3 MPS,2006 - 2009,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/3%20MPS%20(2006%20-%202009).html
mazda,323,1977 - 1980,4x114.3,59.6,,1,,,,,,,,https://www.wheelfitment.eu/car/Mazda/323%20(1977%20-%201980).html
mazda,323,1980 - 1985,4x114.3,59.6,,1,,,,,,,,https://www.wheelfitment.eu/car/Mazda/323%20(1980%20-%201985).html
mazda,323,1985 - 1989,4x114.3,59.6,,1,1,,,,,,,https://www.wheelfitment.eu/car/Mazda/323%20(1985%20-%201989).html
mazda,323 4 gaatts,1989 - 2004,4x100,54.1,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Mazda/323%204%20gaatts%20(1989%20-%202004).html
mazda,323 5 bolts,1994 - 2004,5x114.3,67.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Mazda/323%205%20gaats%20(1994%20-%202004).html
mazda,5,2005 - 2010,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/5%20(2005%20-%202010).html
mazda,5,2010 - 2015,5x114.3,67.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/5%20(2010%20-%202015).html
mazda,6,2002 - 2008,5x114.3,67.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/6%20(2002%20-%202008).html
mazda,6,2008 - 2013,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/6%20(2008%20-%202013).html
mazda,6 MPS,2006 - 2008,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/6%20MPS%20(2006%20-%202008).html
mazda,626,1979 - 1982,4x110,59.6,,1,,,,,,,,https://www.wheelfitment.eu/car/Mazda/626%20(1979%20-%201982).html
mazda,626,1983 - 1987,4x114.3,59.6,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Mazda/626%20(1983%20-%201987).html
mazda,626,1987 - 1992,5x114.3,67.1,,,1,1,,,,,,https://www.wheelfitment.eu/car/Mazda/626%20(1987%20-%201992).html
mazda,626,1992 - 1997,5x114.3,67.1,,,1,1,,,,,,https://www.wheelfitment.eu/car/Mazda/626%20(1992%20-%201997).html
mazda,626,1997 - 2002,5x114.3,67.1,,,1,1,1,1,1,1,,https://www.wheelfitment.eu/car/Mazda/626%20(1997%20-%202002).html
mazda,929,1973 - 1981,4x120,60.1,,,1,1,,,,,,https://www.wheelfitment.eu/car/Mazda/929%20(1973%20-%201981).html
mazda,929,1981 - 1987,4x114.3,59.6,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/929%20(1981%20-%201987).html
mazda,929,1987 - 1992,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/929%20(1987%20-%201992).html
mazda,B2500,1999 - 2006,6x139.7,93.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/B2500%20(1999%20-%202006).html
mazda,B2600,1999 - 2006,6x139.7,93.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/B2600%20(1999%20-%202006).html
mazda,BT50,2007 - 2014,6x139.7,93.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/BT50%20(2007%20-%202014).html
mazda,CX-3,2015 - ,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/CX-3%20(2015%20-%20).html
mazda,CX-30,2019 - ,5x114.3,67.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Mazda/CX-30%20(2019%20-%20).html
mazda,CX-5,2012 - 2017,5x114.3,67.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/CX-5%20(2012%20-%202017).html
mazda,CX-5,2017 - ,5x114.3,67.1,,,,,,1,1,1,,https://www.wheelfitment.eu/car/Mazda/CX-5%20(2017%20-%20).html
mazda,CX-7,2007 - 2012,5x114.3,67.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/CX-7%20(2007%20-%202012).html
mazda,CX-9,2007 - ,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/CX-9%20(2007%20-%20).html
mazda,Demio,1998 - 2003,4x100,54.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/Demio%20(1998%20-%202003).html
mazda,"E2000,2200",1983 - 1999,6x139.7,93.1,,,,,,,,,,"https://www.wheelfitment.eu/car/Mazda/E2000,2200%20(1983%20-%201999).html"
mazda,"E2000,2200",1999 - 2005,6x139.7,93.1,,,,,,,,,,"https://www.wheelfitment.eu/car/Mazda/E2000,2200%20(1999%20-%202005).html"
mazda,Mazda2,2015 - ,4x100,54.1,,,,1,1,,,,,https://www.wheelfitment.eu/car/Mazda/Mazda2%20(2015%20-%20).html
mazda,Mazda3,2013 - 2019,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/Mazda3%20(2013%20-%202019).html
mazda,Mazda3,2019 - ,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/Mazda3%20(2019%20-%20).html
mazda,Mazda3 MPS,2009 - 2013,5x114.3,67.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/Mazda3%20MPS%20(2009%20-%202013).html
mazda,Mazda6,2002 - 2008,5x114.3,67.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Mazda/Mazda6%20(2002%20-%202008).html
mazda,Mazda6,2012 - 2019,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/Mazda6%20(2012%20-%202019).html
mazda,Mazda6,2019 - ,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/Mazda6%20(2019%20-%20).html
mazda,MPV,1999 - 2002,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/MPV%20(1999%20-%202002).html
mazda,MPV,2002 - 2006,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/MPV%20(2002%20-%202006).html
mazda,MX-3,1991 - 1999,4x100,54.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/MX-3%20(1991%20-%201999).html
mazda,MX-30,2020 - ,5x114.3,67.1,,,,,,,1,,,https://www.wheelfitment.eu/car/Mazda/MX-30%20(2020%20-%20).html
mazda,MX-5,1990 - 2005,4x100,54.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Mazda/MX-5%20(1990%20-%202005).html
mazda,MX-5,2005 - 2015,5x114.3,67.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Mazda/MX-5%20(2005%20-%202015).html
mazda,MX-5,2015 - ,4x100,54.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Mazda/MX-5%20(2015%20-%20).html
mazda,MX-6,1992 - 1997,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/MX-6%20(1992%20-%201997).html
mazda,Premacy,1999 - 2005,5x114.3,67.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mazda/Premacy%20(1999%20-%202005).html
mazda,Premacy,2005 - 2010,5x114.3,67.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Mazda/Premacy%20(2005%20-%202010).html
mazda,Premacy,2010 - 2018,5x114.3,67.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Mazda/Premacy%20(2010%20-%202018).html
mazda,RX-7,1979 - 1983,4x110,59.6,,1,,,,,,,,https://www.wheelfitment.eu/car/Mazda/RX-7%20(1979%20-%201983).html
mazda,RX-7,1983 - 1986,4x114.3,59.6,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/RX-7%20(1983%20-%201986).html
mazda,RX-7,1986 - 1992,5x114.3,59.6,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/RX-7%20(1986%20-%201992).html
mazda,RX-7,1992 - 2002,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/RX-7%20(1992%20-%202002).html
mazda,RX-8,2003 - 2012,5x114.3,67.1,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Mazda/RX-8%20(2003%20-%202012).html
mazda,Tribute,2001 - 2006,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/Tribute%20(2001%20-%202006).html
mazda,Xedos 6,1992 - 2000,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/Xedos%206%20(1992%20-%202000).html
mazda,Xedos 9,1992 - 2002,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mazda/Xedos%209%20(1992%20-%202002).html
mitsubishi,3000GT,1992 - 1999,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/3000GT%20(1992%20-%201999).html
mitsubishi,Airtrek,2001 - 2005,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Airtrek%20(2001%20-%202005).html
mitsubishi,ASX,2010 - 2023,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mitsubishi/ASX%20(2010%20-%202023).html
mitsubishi,ASX,2023 - ,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mitsubishi/ASX%20(2023%20-%20).html
mitsubishi,Carisma 1.6,1995 - 1999,4x100,56.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Carisma%201.6%20(1995%20-%201999).html
mitsubishi,"Carisma 1.6, 1.8GDi,1.9TD",2000 - 2004,4x114.3,67.1,,,,1,1,1,1,,,"https://www.wheelfitment.eu/car/Mitsubishi/Carisma%201.6,%201.8GDi,1.9TD%20(2000%20-%202004).html"
mitsubishi,Carisma 1.8i,1995 - 2001,4x114.3,67.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Mitsubishi/Carisma%201.8i%20(1995%20-%202001).html
mitsubishi,Colt,1988 - 1992,4x114.3,67.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Mitsubishi/Colt%20(1988%20-%201992).html
mitsubishi,Colt,1992 - 2004,4x100,56.1,,1,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mitsubishi/Colt%20(1992%20-%202004).html
mitsubishi,Colt,2004 - 2008,4x114.3,67.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mitsubishi/Colt%20(2004%20-%202008).html
mitsubishi,Colt,2008 - 2013,4x114.3,67.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Mitsubishi/Colt%20(2008%20-%202013).html
mitsubishi,Colt,2023 - ,4x100,60.1,,,,,1,1,,,,https://www.wheelfitment.eu/car/Mitsubishi/Colt%20(2023%20-%20).html
mitsubishi,Cordia,1982 - 1990,4x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Cordia%20(1982%20-%201990).html
mitsubishi,Eclipse,1990 - 2005,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Eclipse%20(1990%20-%202005).html
mitsubishi,Eclipse Cross,2017 - ,5x114.3,67.1,,,,,1,1,1,1,,https://www.wheelfitment.eu/car/Mitsubishi/Eclipse%20Cross%20(2017%20-%20).html
mitsubishi,FTO,1994 - 2002,5x114.3,67.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Mitsubishi/FTO%20(1994%20-%202002).html
mitsubishi,Galant,1989 - 1992,4x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Galant%20(1989%20-%201992).html
mitsubishi,Galant,1993 - 2004,4x114.3,67.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mitsubishi/Galant%20(1993%20-%202004).html
mitsubishi,Grandis,2004 - 2011,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mitsubishi/Grandis%20(2004%20-%202011).html
mitsubishi,i-MiEV,2010 - ,4x100,56.1,,,,1,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/i-MiEV%20(2010%20-%20).html
mitsubishi,L200,1986 - 1996,6x139.7,108.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L200%20(1986%20-%201996).html
mitsubishi,L200 2WD,1996 - 2006,6x139.7,107.4,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L200%202WD%20(1996%20-%202005).html
mitsubishi,L200 4WD,1996 - 2006,6x139.7,107.4,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L200%204WD%20(1996%20-%202006).html
mitsubishi,L200 4WD,2001 - 2005,6x139.7,107.4,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L200%204WD%20(2001%20-%202005).html
mitsubishi,L200 4WD,2006 - ,6x139.7,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L200%204WD%20(2006%20-%20).html
mitsubishi,L300,1994 - 2007,5x114.3,67.1,,,,1,1,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L300%20(1994%20-%202007).html
mitsubishi,L300 2WD,1986 - 1994,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L300%202WD%20(1986%20-%201994).html
mitsubishi,L300 4WD,1986 - 1994,6x139.7,107.4,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L300%204WD%20(1986%20-%201994).html
mitsubishi,L400 2WD,1994 - 2007,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L400%202WD%20(1994%20-%202007).html
mitsubishi,L400 4WD,1994 - 2007,6x139.7,107.4,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/L400%204WD%20(1994%20-%202007).html
mitsubishi,Lancer,1988 - 1992,4x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20(1988%20-%201992).html
mitsubishi,Lancer,1993 - 2003,4x100,56.1,,1,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20(1993%20-%202003).html
mitsubishi,Lancer,2008 - ,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20(2008%20-%20).html
mitsubishi,"Lancer 1.3i, 1.6i",2003 - 2008,4x114.3,67.1,,,,,,,,,,"https://www.wheelfitment.eu/car/Mitsubishi/Lancer%201.3i,%201.6i%20(2003%20-%202008).html"
mitsubishi,Lancer 2.0i,2003 - 2008,5x114.3,67.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%202.0i%20(2003%20-%202008).html
mitsubishi,Lancer EVO I,1992 - 1994,4x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20I%20(1992%20-%201994).html
mitsubishi,Lancer EVO II,1994 - 1995,4x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20II%20(1994%20-%201995).html
mitsubishi,Lancer EVO III,1995 - 1996,4x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20III%20(1995%20-%201996).html
mitsubishi,Lancer EVO IX,2006 - 2008,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20IX%20(2006%20-%202008).html
mitsubishi,Lancer EVO V,1998 - 1998,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20V%20(1998%20-%201998).html
mitsubishi,Lancer EVO VI,1999 - 2001,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20VI%20(1999%20-%202001).html
mitsubishi,Lancer EVO VII,2001 - 2002,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20VII%20(2001%20-%202002).html
mitsubishi,Lancer EVO VIII,2003 - 2005,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20VIII%20(2003%20-%202005).html
mitsubishi,Lancer EVO X,2008 - ,5x114.3,67.1,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Mitsubishi/Lancer%20EVO%20X%20(2008%20-%20).html
mitsubishi,Outlander,2003 - 2007,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Outlander%20(2003%20-%202007).html
mitsubishi,Outlander,2007 - 2012,5x114.3,67.1,,,,,,,,,,https://www.wheelfitment.eu/car/Mitsubishi/Outlander%20(2007%20-%202012).html
